code;destination;rate
1264729;anguilla mobile cable & wireless;10.64
1264772;anguilla mobile cable & wireless;10.64
1267555;usa other;1.4
1268;antigua and barbuda;8.4
1269555;usa other;1.4
1270555;usa other;1.4
1276555;usa other;1.4
1281555;usa other;1.4
1284;british virgin islands;8.96
1289;canada hamilton;0.56
1301555;usa other;1.4
1302555;usa other;1.4
1303555;usa other;1.4
1304555;usa other;1.4
1305555;usa other;1.4
1306;canada saskatchewan;0.56
1307555;usa other;1.4
1308555;usa other;1.4
1309555;usa other;1.4
1310555;usa other;1.4
1312555;usa other;1.4
1313555;usa other;1.4
1314555;usa other;1.4
1315555;usa other;1.4
1316555;usa other;1.4
1317555;usa other;1.4
1318555;usa other;1.4
1319555;usa other;1.4
1320555;usa other;1.4
1321555;usa other;1.4
1323555;usa other;1.4
1325555;usa other;1.4
1330555;usa other;1.4
1331555;usa other;1.4
1334555;usa other;1.4
1336555;usa other;1.4
1337555;usa other;1.4
1339555;usa other;1.4
1340;usa virgin islands;1.4
1343;canada ontario;0.56
1345;cayman islands;7
1347555;usa new york city;1.4
1351555;usa other;1.4
1352555;usa other;1.4
1360555;usa other;1.4
1361555;usa other;1.4
1365;canada ontario;0.56
1386555;usa other;1.4
1401555;usa other;1.4
1402555;usa other;1.4
1403;canada southern albert;0.56
1404555;usa other;1.4
1405555;usa other;1.4
1406555;usa other;1.4
1407555;usa other;1.4
1408555;usa other;1.4
1409555;usa other;1.4
1410555;usa other;1.4
1412555;usa other;1.4
1413555;usa other;1.4
1414555;usa other;1.4
1415555;usa other;1.4
1416;canada toronto;0.56
1417555;usa other;1.4
1418;canada quebec;0.56
1419555;usa other;1.4
1423555;usa other;1.4
1424555;usa other;1.4
1425555;usa other;1.4
1430555;usa other;1.4
1431;canada manitoba;0.56
1432555;usa other;1.4
1434555;usa other;1.4
1435555;usa other;1.4
1437;canada ontario;0.56
1438;canada quebec;0.56
1440555;usa other;1.4
1441;bermuda;1.96
1443555;usa other;1.4
1450;canada suburban montre;0.56
1469555;usa other;1.4
1470555;usa other;1.4
1473;grenada;8.96
1475555;usa other;1.4
1478555;usa other;1.4
1479555;usa other;1.4
1480555;usa other;1.4
1484555;usa other;1.4
1500555;usa directory assistance;1.4
1501555;usa other;1.4
1502555;usa other;1.4
1503555;usa other;1.4
1504555;usa other;1.4
1505555;usa other;1.4
1506;canada new brunswick;0.56
1507555;usa other;1.4
1508555;usa other;1.4
1509555;usa other;1.4
1510555;usa other;1.4
1512555;usa other;1.4
1513555;usa other;1.4
1514;canada quebec montreal;0.56
1515555;usa other;1.4
1516555;usa other;1.4
1517555;usa other;1.4
1518555;usa other;1.4
1519;canada ontario london;0.56
1520555;usa other;1.4
1530555;usa other;1.4
1540555;usa other;1.4
1541555;usa other;1.4
1551555;usa other;1.4
1559555;usa other;1.4
1561555;usa other;1.4
1562555;usa other;1.4
1563555;usa other;1.4
1564555;usa;1.4
1567555;usa other;1.4
1570555;usa other;1.4
1571555;usa other;1.4
1573555;usa other;1.4
1574555;usa other;1.4
1575555;usa other;1.4
1579;canada quebec;0.56
1580555;usa other;1.4
1581;canada quebec;0.56
1585555;usa other;1.4
1586555;usa other;1.4
1587;canada albert;0.56
1600;canada non geographic;0.56
1601555;usa other;1.4
1602555;usa other;1.4
1603555;usa other;1.4
1604;canada vancouver;0.56
1605555;usa other;1.4
1606555;usa other;1.4
1607555;usa other;1.4
1608555;usa other;1.4
1609555;usa other;1.4
1610555;usa other;1.4
1612555;usa other;1.4
1613;canada ontario kingston;0.56
1614555;usa other;1.4
1615555;usa other;1.4
1616555;usa other;1.4
1617555;usa other;1.4
1618555;usa other;1.4
1619555;usa other;1.4
1620555;usa other;1.4
1623555;usa other;1.4
1626555;usa other;1.4
1630555;usa other;1.4
1631555;usa other;1.4
1636555;usa other;1.4
1639;canada saskatchewan;0.56
1641555;usa other;1.4
1646555;usa new york city;1.4
1647;canada toronto;0.56
1649;turks and caicos islands;8.96
1650555;usa other;1.4
1651555;usa other;1.4
1660555;usa other;1.4
1661555;usa other;1.4
1662555;usa other;1.4
1664;montserrat;8.68
1670;mariana islands;1.68
1671;guam;1.12
1678555;usa other;1.4
1682555;usa other;1.4
1684;american samoa;1.4
1701555;usa other;1.4
1702555;usa other;1.4
1703555;usa other;1.4
1704555;usa other;1.4
1705;canada ontario north bay;0.56
1706555;usa other;1.4
1707555;usa other;1.4
1708555;usa other;1.4
1709;canada newfoundland;0.56
1710555;usa other;1.4
1712555;usa other;1.4
1713555;usa other;1.4
1714555;usa other;1.4
1715555;usa other;1.4
1716555;usa other;1.4
1717555;usa other;1.4
1718555;usa new york city;1.4
1719555;usa other;1.4
1720555;usa other;1.4
1721;saint maarten;4.48
1724555;usa other;1.4
1727555;usa other;1.4
1731555;usa other;1.4
1732555;usa other;1.4
1734555;usa other;1.4
1740555;usa other;1.4
1754555;usa other;1.4
1757555;usa other;1.4
1758;saint lucia;8.96
1760555;usa other;1.4
1762555;usa other;1.4
1763555;usa other;1.4
1765555;usa other;1.4
1767;dominica;8.96
1769555;usa other;1.4
1770555;usa other;1.4
1772555;usa other;1.4
1773555;usa other;1.4
1774555;usa other;1.4
1775555;usa other;1.4
1778;canada vancouver;0.56
1779555;usa other;1.4
1780;canada northern albert;0.56
1781555;usa other;1.4
1784;saint vincent and the grenadines;8.68
1785555;usa other;1.4
1786555;usa other;1.4
1787;puerto rico;0.84
1800;usa premium;0.84
1801555;usa other;1.4
1802555;usa other;1.4
1803555;usa other;1.4
1804555;usa other;1.4
1805555;usa other;1.4
1806555;usa other;1.4
1807;canada ontario thunder bay;0.56
1808;usa hawaii 2;0.84
1808555;usa hawaii;1.4
1809;dominican republic;4.76
1810555;usa other;1.4
1812555;usa other;1.4
1813555;usa other;1.4
1814555;usa other;1.4
1815555;usa other;1.4
1816555;usa other;1.4
1817555;usa other;1.4
1818555;usa other;1.4
1819;canada quebec sherbrooke;0.56
1828555;usa other;1.4
1829;dominican republic;4.76
1830555;usa other;1.4
1831555;usa other;1.4
1832555;usa other;1.4
1843555;usa other;1.4
1844;usa premium;0.84
1845555;usa other;1.4
1847555;usa other;1.4
1848555;usa other;1.4
1849;dominican republic;4.76
1850555;usa other;1.4
1855;usa premium;0.84
1856555;usa other;1.4
1857555;usa other;1.4
1858555;usa other;1.4
1859555;usa other;1.4
1860555;usa other;1.4
1862555;usa other;1.4
1863555;usa other;1.4
1864555;usa other;1.4
1865555;usa other;1.4
1866;usa premium;0.84
1867;canada northwest territories;5.6
1868;trinidad and tobago;7.28
1869;saint kitts and nevis;8.96
1870555;usa other;1.4
1873;canada saskatchewan;0.56
1876;jamaica;9.24
1877;usa premium;0.84
1880;usa premium;0.84
1883;usa other 2;0.84
1888;usa premium;0.84
1901555;usa other;1.4
1902;canada nova scotia;0.56
1903555;usa other;1.4
1904555;usa other;1.4
1905;canada ontario hamilton;0.56
1906555;usa other;1.4
1907;usa alaska 2;1.68
1907555;usa alaska;1.4
1908555;usa other;1.4
1909555;usa other;1.4
1910555;usa other;1.4
1912555;usa other;1.4
1913555;usa other;1.4
1914555;usa other;1.4
1915555;usa other;1.4
1916555;usa other;1.4
1917555;usa new york city;1.4
1918555;usa other;1.4
1919555;usa other;1.4
1920555;usa other;1.4
1925555;usa other;1.4
1928555;usa other;1.4
1931555;usa other;1.4
1936555;usa other;1.4
1937555;usa other;1.4
1939;puerto rico;0.84
1940555;usa other;1.4
1941555;usa other;1.4
1947555;usa other;1.4
1949555;usa other;1.4
1951555;usa other;1.4
1952555;usa other;1.4
1954555;usa other;1.4
1956555;usa other;1.4
1970555;usa other;1.4
1971555;usa other;1.4
1972555;usa other;1.4
1973555;usa other;1.4
1978555;usa other;1.4
1979555;usa other;1.4
1980555;usa other;1.4
1984555;usa other;1.4
1985555;usa other;1.4
1989555;usa other;1.4
20;egypt 2;3.36
2010;egypt mobile vodafone;5.6
2011;egypt mobile (misr) etisalat;5.6
2012;egypt mobile orange (mobilnil);5.6
2014;egypt;5.6
2016;egypt;5.6
2017;egypt;5.6
2018;egypt;5.6
2019;egypt;5.6
211;south sudan;15.12
212;morocco 2;20.72
212520;morocco orange (meditel);8.12
212521;morocco orange (meditel);8.12
212525;morocco orange (meditel);8.12
212526;morocco mobile wana far;10.92
212527;morocco mobile wana far;10.92
212529;morocco orange (meditel) 2;10.92
212530;morocco orange (meditel);8.12
212531;morocco orange (meditel);8.12
212532;morocco orange (meditel);8.12
212533;morocco mobile wana far;10.92
212534;morocco mobile wana far;10.92
212538;morocco orange (meditel) 2;10.92
212540;morocco mobile wana far;10.92
212546;morocco mobile wana far;10.92
212547;morocco mobile wana far;10.92
212550;morocco mobile wana far;10.92
212553;morocco mobile wana far;10.92
2126;morocco mobile;19.04
212600;morocco mobile wana;18.48
212601;morocco mobile wana;18.48
212602;morocco mobile wana;18.48
212603;morocco mobile wana;18.48
212604;morocco mobile wana;18.48
212606;morocco mobile wana;18.48
212612;morocco mobile orange (meditel);12.88
212614;morocco mobile orange (meditel);12.88
212617;morocco mobile orange (meditel);12.88
212619;morocco mobile orange (meditel);12.88
212620;morocco mobile orange (meditel);12.88
212621;morocco mobile orange (meditel);12.88
212626;morocco mobile wana;18.48
212627;morocco mobile wana;18.48
212629;morocco mobile wana;18.48
212630;morocco mobile wana;18.48
212633;morocco mobile wana;18.48
212634;morocco mobile wana;18.48
212635;morocco mobile wana;18.48
212638;morocco mobile wana;18.48
212640;morocco mobile wana;18.48
212644;morocco mobile orange (meditel);12.88
212645;morocco mobile orange (meditel);12.88
212646;morocco mobile wana;18.48
212647;morocco mobile wana;18.48
212649;morocco mobile orange (meditel);12.88
212656;morocco mobile orange (meditel);12.88
212657;morocco mobile orange (meditel);12.88
212660;morocco mobile orange (meditel);12.88
212663;morocco mobile orange (meditel);12.88
212664;morocco mobile orange (meditel);12.88
212665;morocco mobile orange (meditel);12.88
212669;morocco mobile orange (meditel);12.88
212674;morocco mobile orange (meditel);12.88
212675;morocco mobile orange (meditel);12.88
212679;morocco mobile orange (meditel);12.88
212680;morocco mobile wana;18.48
212699;morocco mobile wana;18.48
212892;morocco;1.12
213;algeria 3;3.08
2135;algeria mobile wataniya (ooredoo);23.24
2136;algeria;22.4
2137;algeria 2;18.2
2139;algeria;22.4
216;tunisia;29.96
2162;tunisia mobile orascom;25.76
21636;tunisia mobile orascom;25.76
21640;tunisia mobile tunisie telecom;25.76
21641;tunisia mobile tunisie telecom;25.76
21642;tunisia mobile tunisie telecom;25.76
2164300;tunisia mobile lyca;26.04
2165;tunisia mobile orange;29.96
2169;tunisia mobile tunisie telecom;25.76
218;libya 2;9.24
21891;libya mobile almadar;9.24
21892;libya mobile libyana;9.24
21894;libya mobile libyana;9.24
21895;libya mobile;9.24
218951;libya mobile 2;12.04
21896;libya mobile;9.24
21899;libya;12.04
220;gambia;21.56
221;senegal;14.84
222;mauritania;21.28
223;mali;15.4
224;guinea;17.08
225;ivory coast;16.52
226;burkina faso;14.84
22660;burkina faso mobile onatel;14
2267;burkina faso 2;14
227;niger;13.72
228;togo;12.88
22890;togo mobile togocel;15.12
22891;togo mobile togocel;15.12
22892;togo mobile togocel;15.12
22898;togo mobile telecel (moov);15.12
22899;togo mobile telecel (moov);15.12
229;benin;14
22964;benin mobile telecel (moov);14
22966;benin mobile mtn (areeba);14
22967;benin mobile mtn (areeba);14
22968;benin mobile globacom;14
2299;benin mobile;14
230;mauritius;6.44
231;liberia;17.36
232;sierra leone;21.28
233;ghana;10.64
234;nigeria;3.92
235;chad 2;21
23522;chad;21.84
2356;chad mobile airtel (celtel);21
2357;chad mobile sotel;21.84
2359;chad mobile millicom (tigo);19.88
236;central african republic;30.52
23621;central african republic special;30.8
23622;central african republic special;30.8
23636;central african republic special;30.8
23670;central african republic mobile moov;30.8
23672;central african republic mobile orange;30.8
23674;central african republic special;30.8
23675;central african republic mobile telecel;30.8
23677;central african republic mobile nationlink;30.8
2368776;central african republic special;30.8
237;cameroon;13.44
2377;cameroon mobile mtn;12.04
2379;cameroon mobile orange;12.04
238;cape verde;10.08
23818;cape verde mobile;10.08
23858;cape verde mobile;10.08
23859;cape verde mobile;10.08
2389;cape verde mobile;10.08
239;sao tome and principe;36.4
240;equatorial guinea;20.72
242;congo;15.68
24201;congo mobile azur;19.6
24204;congo mobile warid;19.6
24205;congo mobile celtel;19.6
24206;congo mobile mtn;19.6
243;dr of congo 3;10.92
24378;dr of congo;16.8
2438;dr of congo;16.8
24381;dr of congo mobile vodacom;13.44
24382;dr of congo mobile vodacom;13.44
2439;dr of congo;16.8
24397;dr of congo 2;14.56
24398;dr of congo mobile celtel;14.56
24399;dr of congo mobile celtel;14.56
244;angola;1.96
2449;angola mobile;5.32
24491;angola mobile movicel;3.92
24492;angola mobile unitel;6.16
24493;angola mobile unitel;6.16
24499;angola mobile movicel;3.92
245;guinea bissau;21.28
246;diego garcia;46.2
247;ascension island;28.84
248;seychelles 3;25.2
2484206;seychelles;23.24
24842710;seychelles;23.24
2485;seychelles 2;22.68
2487;seychelles 2;22.68
2489;seychelles 2;22.68
24898;seychelles;23.24
249;sudan;6.16
250;rwanda;11.48
251;ethiopia;8.96
253;djibouti;12.04
254;kenya;9.8
255;tanzania;14
256;uganda;12.32
257;burundi;21.56
25729;burundi mobile cdma;21.56
25771;burundi mobile telecel;21.56
25775;burundi mobile lacell;21.56
25776;burundi mobile econet;21.56
25777;burundi mobile onatel;21.56
25778;burundi mobile africell;21.56
25779;burundi mobile telecel;21.56
258;mozambique;11.2
260;zambia;17.08
261;madagascar;24.08
262;reunion;4.2
263;zimbabwe;16.8
264;namibia;2.8
265;malawi;14
266;lesotho;17.36
267;botswana;9.24
268;swaziland;6.72
269;comoros 2;14.84
2693;comoros;12.88
269390;comoros;12.88
27;south africa 2;7.28
27100;south africa;6.72
27120;south africa;6.72
27130;south africa;6.72
27140;south africa;6.72
27150;south africa;6.72
27160;south africa;6.72
27180;south africa;6.72
27210;south africa cape town;6.72
27310;south africa;6.72
27320;south africa;6.72
27410;south africa;6.72
27510;south africa;6.72
27603;south africa mobile mtn;7
27604;south africa mobile mtn;7
27605;south africa mobile mtn;7
27710;south africa mobile mtn;7
27711;south africa mobile vodacom;6.72
27712;south africa mobile vodacom;6.72
27713;south africa mobile vodacom;6.72
27714;south africa mobile vodacom;6.72
27715;south africa mobile vodacom;6.72
27716;south africa mobile vodacom;6.72
27717;south africa mobile mtn;7
27718;south africa mobile mtn;7
27719;south africa mobile mtn;7
2772;south africa mobile vodacom;6.72
2773;south africa mobile mtn;7
2774;south africa mobile cell;7
2776;south africa mobile vodacom;6.72
2778;south africa mobile mtn;7
2779;south africa mobile vodacom;6.72
2781;south africa;6.72
2782;south africa mobile vodacom;6.72
2783;south africa mobile mtn;7
2784;south africa mobile cell;7
27850;south africa;6.72
278510;south africa 3;7
278515;south africa;6.72
27852;south africa;6.72
27853;south africa;6.72
27862800;south africa mobile vodacom;6.72
2787310;south africa mobile vodacom;6.72
290;saint helena;51.52
297;aruba;7.56
29756;aruba mobile setar;8.12
29759;aruba mobile setar;8.12
297600;aruba mobile mio;8.12
297622;aruba mobile mio;8.12
297630;aruba mobile digicel;8.12
297640;aruba mobile digicel;8.12
297641;aruba mobile digicel;8.12
29766;aruba mobile mio;8.12
29769;aruba mobile mio;8.12
29773;aruba mobile digicel;8.12
29774;aruba mobile digicel;8.12
29796;aruba mobile setar;8.12
29799;aruba mobile setar;8.12
298;faroe islands;5.04
29821;faroe islands mobile;5.04
29822;faroe islands mobile;5.04
29823;faroe islands mobile;5.04
29824;faroe islands mobile;5.04
29825;faroe islands mobile;5.04
29826;faroe islands mobile;5.04
29827;faroe islands mobile;5.04
29828;faroe islands mobile;5.04
29829;faroe islands mobile;5.04
2985;faroe islands mobile;5.04
29871;faroe islands mobile;5.04
29872;faroe islands mobile;5.04
29873;faroe islands mobile;5.04
29874;faroe islands mobile;5.04
29875;faroe islands mobile;5.04
29876;faroe islands mobile;5.04
29877;faroe islands mobile;5.04
29878;faroe islands mobile;5.04
29879;faroe islands mobile;5.04
299;greenland;16.24
30;greece 2;1.12
3021;greece athens;1.12
3069;greece;3.08
30690;greece mobile wind;3.08
30693;greece mobile wind;3.08
30694;greece mobile vodafone;3.08
30695;greece mobile vodafone;3.08
30697;greece mobile cosmote;3.08
30698;greece mobile cosmote;3.08
30699;greece mobile q-telecom;3.08
31;netherlands;8.68
316;netherlands mobile;12.32
31610;netherlands mobile kpn;9.24
31611;netherlands mobile vodafone;12.32
31612;netherlands mobile kpn;9.24
31613;netherlands mobile kpn;9.24
31614;netherlands mobile t-mobile;9.24
31615;netherlands mobile vodafone;12.32
31616;netherlands mobile telfort;9.24
31617;netherlands mobile telfort;9.24
31618;netherlands mobile t-mobile;9.24
31619;netherlands mobile telfort;9.24
31620;netherlands mobile kpn;9.24
31621;netherlands mobile vodafone;12.32
31622;netherlands mobile kpn;9.24
31623;netherlands mobile kpn;9.24
31624;netherlands mobile t-mobile;9.24
31625;netherlands mobile vodafone;12.32
31626;netherlands mobile telfort;9.24
31627;netherlands mobile vodafone;12.32
31628;netherlands mobile t-mobile;9.24
31629;netherlands mobile vodafone;12.32
31630;netherlands mobile kpn;9.24
31631;netherlands mobile vodafone;12.32
31633;netherlands mobile telfort;9.24
31634;netherlands mobile t-mobile;9.24
31636;netherlands mobile tele2;12.88
31637;netherlands mobile vodafone;12.32
31638;netherlands mobile t-mobile;9.24
31639;netherlands mobile t-mobile;9.24
31640;netherlands mobile tele2;12.88
31641;netherlands mobile t-mobile;9.24
31642;netherlands mobile t-mobile;9.24
31643;netherlands mobile t-mobile;9.24
31644;netherlands mobile telfort;9.24
31645;netherlands mobile telfort;9.24
31646;netherlands mobile vodafone;12.32
31647;netherlands mobile telfort;9.24
31648;netherlands mobile t-mobile;9.24
31649;netherlands mobile telfort;9.24
31650;netherlands mobile vodafone;12.32
31651;netherlands mobile kpn;9.24
31652;netherlands mobile vodafone;12.32
31653;netherlands mobile kpn;9.24
31654;netherlands mobile vodafone;12.32
31655;netherlands mobile vodafone;12.32
31657;netherlands mobile kpn;9.24
31665;netherlands mobile kpn;9.24
31682;netherlands mobile kpn;9.24
31683;netherlands mobile kpn;9.24
31684;netherlands mobile lycamobile;12.88
31685;netherlands mobile lycamobile;12.88
316860;netherlands mobile lycamobile;12.88
316861;netherlands mobile lycamobile;12.88
316862;netherlands mobile lycamobile;12.88
316863;netherlands mobile lycamobile;12.88
316864;netherlands mobile lycamobile;12.88
31687;netherlands mobile lycamobile;12.88
318;netherlands premium;12.32
319;netherlands premium;12.32
32;belgium;3.92
3246;belgium 2;15.68
32460;belgium mobile proximus;16.24
324659;belgium mobile others;16.24
324660;belgium mobile others;16.24
324661;belgium mobile others;16.24
324662;belgium mobile others;16.24
324663;belgium mobile others;16.24
324664;belgium mobile others;16.24
324681;belgium mobile telenet;16.8
324682;belgium mobile telenet;16.8
324683;belgium mobile telenet;16.8
3247;belgium mobile proximus;16.24
3248;belgium 3;16.8
3249;belgium mobile mobistar;16.8
3270;belgium special services;4.2
3277;belgium mobile others 2;15.68
32770001;belgium mobile proximus;16.24
32770002;belgium mobile base;16.8
32770005;belgium mobile mobistar;16.8
33;france;12.88
335091;france 2;2.8
336;france mobile others;2.8
336001;france mobile orange;2.8
336003;france mobile bouygues;2.8
3360041;france mobile orange;2.8
3360042;france mobile bouygues;2.8
3360051;france mobile orange;2.8
3360052;france mobile sfr;2.8
336007;france mobile sfr;2.8
336008;france mobile orange;2.8
336009;france mobile bouygues;2.8
33601;france mobile sfr;2.8
336020;france mobile others;2.8
336021;france mobile others;2.8
336022;france mobile sfr;2.8
336023;france mobile sfr;2.8
336024;france mobile sfr;2.8
336025;france mobile sfr;2.8
33603;france mobile sfr;2.8
336040;france mobile sfr;2.8
336041;france mobile sfr;2.8
336044;france mobile sfr;2.8
336045;france mobile sfr;2.8
336046;france mobile sfr;2.8
336047;france mobile sfr;2.8
336048;france mobile sfr;2.8
336049;france mobile sfr;2.8
33605;france mobile others;2.8
336055;france mobile bouygues;2.8
336056;france mobile bouygues;2.8
336057;france mobile bouygues;2.8
336058;france mobile bouygues;2.8
336059;france mobile bouygues;2.8
336064;france mobile sfr;2.8
336065;france mobile sfr;2.8
336066;france mobile sfr;2.8
336067;france mobile sfr;2.8
336068;france mobile sfr;2.8
336069;france mobile sfr;2.8
33607;france mobile orange;2.8
33608;france mobile orange;2.8
33609;france mobile sfr;2.8
3361;france mobile sfr;2.8
3362;france mobile sfr;2.8
33630;france mobile orange;2.8
33631;france mobile orange;2.8
33632;france mobile orange;2.8
33633;france mobile orange;2.8
33634;france mobile sfr;2.8
33635;france mobile sfr;2.8
336360;france mobile sfr;2.8
336361;france mobile sfr;2.8
336362;france mobile sfr;2.8
336363;france mobile sfr;2.8
336364;france mobile sfr;2.8
336365;france mobile sfr;2.8
336366;france mobile sfr;2.8
336367;france mobile sfr;2.8
336368;france mobile sfr;2.8
336369;france mobile sfr;2.8
33637;france mobile orange;2.8
3363800;france mobile others 2;12.88
336381;france mobile orange;2.8
336382;france mobile orange;2.8
336383;france mobile orange;2.8
336384;france mobile orange;2.8
336385;france mobile orange;2.8
336386;france mobile orange;2.8
336387;france mobile orange;2.8
336388;france mobile orange;2.8
336389;france mobile orange;2.8
3364000;france mobile others 2;12.88
3364001;france mobile others 2;12.88
3364002;france mobile others 2;12.88
3364003;france mobile others 2;12.88
3364004;france mobile others 2;12.88
3364005;france mobile sfr;2.8
3364006;france mobile sfr;2.8
3364007;france mobile sfr;2.8
3364008;france mobile sfr;2.8
3364009;france mobile sfr;2.8
336401;france mobile orange;2.8
336402;france mobile orange;2.8
336403;france mobile orange;2.8
336404;france mobile orange;2.8
336405;france mobile orange;2.8
3364164;france mobile sfr;2.8
3364166;france mobile sfr;2.8
3364167;france mobile sfr;2.8
3364168;france mobile sfr;2.8
3364169;france mobile sfr;2.8
336418;france mobile sfr;2.8
336419;france mobile sfr;2.8
33642;france mobile orange;2.8
33643;france mobile orange;2.8
336440;france mobile sfr;2.8
336444;france mobile others;2.8
336445;france mobile others;2.8
336446;france mobile others;2.8
336447;france mobile sfr;2.8
336448;france mobile sfr;2.8
336449;france mobile sfr;2.8
33645;france mobile orange;2.8
33646;france mobile sfr;2.8
3364950;france mobile others;2.8
3364990;france mobile sfr;2.8
3364991;france mobile sfr;2.8
3364995;france mobile sfr;2.8
3364998;france mobile sfr;2.8
3364999;france mobile sfr;2.8
33650;france mobile bouygues;2.8
33653;france mobile others;2.8
33654;france mobile orange;2.8
33655;france mobile sfr;2.8
33658;france mobile bouygues;2.8
33659;france mobile bouygues;2.8
3366;france mobile others;2.8
3367;france mobile orange;2.8
3368;france mobile orange;2.8
33698;france mobile bouygues;2.8
33699;france mobile bouygues;2.8
337;france mobile others;2.8
337500;france mobile sfr;2.8
337505;france mobile sfr;2.8
3375060;france mobile sfr;2.8
337507;france mobile others;2.8
337510;france mobile bouygues;2.8
337511;france mobile bouygues;2.8
337512;france mobile bouygues;2.8
337513;france mobile bouygues;2.8
337514;france mobile bouygues;2.8
337515;france mobile bouygues;2.8
33753;france mobile bouygues;2.8
33754;france mobile others;2.8
33755;france mobile others;2.8
337575;france mobile sfr;2.8
3375759;france mobile sfr;2.8
337576;france mobile sfr;2.8
337577;france mobile sfr;2.8
337578;france mobile sfr;2.8
33758;france mobile bouygues;2.8
3376;france mobile bouygues;2.8
33777;france mobile sfr;2.8
33778;france mobile sfr;2.8
33780;france mobile sfr;2.8
338;france special service;11.48
34;spain 3;0.56
341;spain 2;5.04
3451;spain special services;5.04
3459;spain;3.64
346;spain mobile;3.64
34600;spain mobile vodafone;3.64
346010;spain mobile vodafone;3.64
346011;spain mobile vodafone;3.64
346012;spain mobile vodafone;3.64
346021;spain mobile telefonica;3.64
346024;spain mobile vodafone;3.64
346025;spain mobile vodafone;3.64
346026;spain mobile vodafone;3.64
346027;spain mobile vodafone;3.64
34603;spain mobile vodafone;3.64
34605;spain mobile orange;3.64
34606;spain mobile telefonica;3.64
34607;spain mobile vodafone;3.64
34608;spain mobile telefonica;3.64
34609;spain mobile telefonica;3.64
34610;spain mobile vodafone;3.64
346111;spain mobile vodafone;3.64
346112;spain mobile vodafone;3.64
346116;spain mobile vodafone;3.64
34615;spain mobile orange;3.64
34616;spain mobile telefonica;3.64
34617;spain mobile vodafone;3.64
34618;spain mobile telefonica;3.64
34619;spain mobile telefonica;3.64
34620;spain mobile telefonica;3.64
34622;spain mobile (yoigo) xfera;3.92
34625;spain mobile orange;3.64
34626;spain mobile telefonica;3.64
34627;spain mobile vodafone;3.64
34628;spain mobile telefonica;3.64
34629;spain mobile telefonica;3.64
34630;spain mobile telefonica;3.64
34632;spain mobile orange;3.64
34633;spain mobile (yoigo) xfera;3.92
34634;spain mobile vodafone;3.64
34635;spain mobile orange;3.64
34636;spain mobile telefonica;3.64
34637;spain mobile vodafone;3.64
34638;spain mobile telefonica;3.64
34639;spain mobile telefonica;3.64
346400;spain mobile orange;3.64
346401;spain mobile orange;3.64
346422;spain mobile telefonica;3.64
346426;spain mobile telefonica;3.64
346427;spain mobile telefonica;3.64
346428;spain mobile telefonica;3.64
346429;spain mobile telefonica;3.64
346440;spain mobile orange;3.64
346441;spain mobile orange;3.64
346442;spain mobile orange;3.64
346443;spain mobile orange;3.64
346444;spain mobile orange;3.64
346445;spain mobile orange;3.64
346446;spain mobile orange;3.64
346447;spain mobile orange;3.64
34645;spain mobile orange;3.64
34646;spain mobile telefonica;3.64
34647;spain mobile vodafone;3.64
34648;spain mobile telefonica;3.64
34649;spain mobile telefonica;3.64
34650;spain mobile telefonica;3.64
34651;spain mobile orange;3.64
34652;spain mobile orange;3.64
